1;71;WebMoney WMZ;WMZ;840;1;1001100100111111111111011001011011111111101101000111111111110000000000000011001101111111100111110111100010100000011000000000000101000100111111111111110111111110000011011100000000000000000101111111001000100001000011100110000111110001100000000
2;67;Terra (LUNA);LUNA;1022;0;1011111110111111111111111111111011111111101111101111111111111111111111100011111111011111011111000010100000000001001010000000000101000101111110111111110111111111111111111100000000000000000111111101100000000000000010010000000100000011100000000
3;72;WebMoney WME;WME;978;1;0000000000000000000000000000000000000000000000000000000000000000000000100000000101010000000000110000000000000000000000000000000100000100100000010000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000
4;159;Беларусбанк BYN;BYN БелБанк;974;3;1000000100000001000010001000000000000010000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
55;151;Приват 24 USD;USD Приват24;840;3;1000000100000001000010001000000000000010000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6;79;ЮMoney RUB;RUB ЮMoney;643;1;1011111110111111111111111111111011111111111111111111111111111111111111100011010101010111111111110011111000100000001000000010000101000100111111111111110111111111111111111100010000000001000101101010000000100000000000000000000000000001000000000
7;207;Банковский счет BGN;BGN Банк;975;3;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
42;128;Сбербанк RUB;RUB Сбербанк;643;3;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111110011111000111100011000000011001101001100111110111111101111111111111111111101110011000001011101111111100010100000000010010100000000000010000000000
48;41;OMG Network (OMG);OMG;1028;0;1011111110111111111111111111111011111111111111101111111111111111111111100011111111011111010111000010100010000001111011000000000101010111111111111111111111111111111111111101010110000000100111111111110111000001000011111100000000000011110011101
15;220;WU EUR;EUR WU;978;4;1000000100000000000010000000000000000000000000000000000000000000000000100010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
18;239;Наличные TRY;TRY Наличными;949;5;0000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19;45;BinanceCoin BEP20 (BNB);BNB BEP20;1032;0;1111111111111111111111111111111011111111111111101111111111111111111111100011111111011111111111111011100010100001011000000000000101110111111111111111111111111111111111111101111111111101111111111111111111110111011010111100000100000011110111101
20;91;Advanced Cash TRY;TRY AdvCash;949;1;1011101110111111111111111111111011101110001110001011111111111111111111000011001100000111010111000000000000000000001000000000000101000100111110111111110111111100000001010000000000000000000100000010000000000000000000000000000000000000000000000
43;3;Bitcoin BEP20 (BTCB);BTCB BEP20;1050;0;1011111111111111111111111111111011111111111111101111111111111111111111100011111101011111111111000011100000100000011000000001000101011111111111111111110111111101111111111100000010000001000101111010100010000000000010110100000100000011100001000
51;137;ВТБ RUB;RUB ВТБ;643;3;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111110011100000101000011000000010000101000100011111111111101111111111111111111101110001000001011101111111100000100000000000010000000000000000000000000
47;133;Тинькофф USD;USD Тинькофф;840;3;1010100100111001100111110000000000000000000000000000000001000000000000000000000000000111000111000000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000
40;75;Perfect Money USD;USD PM;840;1;1111111111111111111111111111111011111111111111111111111111111111111111100011111111111111111111111111111010101101111100100010001101111111111111111111111111111111111111111111111111111111111111111111111111110111011011111110001000000011110111101
41;76;Perfect Money EUR;EUR PM;978;1;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111110011111010110001001000000010001101011110111111111111111111111111111111111101110001000001011111111111100000000001000011111100000000000011100000000
45;82;PayPal USD;USD PayPal;840;1;1000100100111111111111010001111000001111001101001011111111110111110100111011001100000111000000110000000000000000000000000000000101000100111111111111100111111101111011110100000000000000000000000000000000000000000000000000000000000000000000000
50;123;Exmo USDT;USDT Exmo;840;2;1000100100111010110111011000110000100110101000000000000000000000000000100011011100000111010111000011100000100000001000000000000101000100111111111111111111111101111111110100000000000000000101101010100000000000000000001100000000000000000000000
52;130;Альфа-Банк RUB;RUB Альфа-Банк;643;3;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111110011111000101000011000000010000101000100111111111111111111111111111111111101110001000001011101111111100000100000000000010000000000000000000000000
53;140;Промсвязьбанк RUB;RUB ПСБанк;643;3;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111110011100000110000011000000000001101000100111111111011000111111111111111111101110001000001011101111111100000000000000000010000000000000000000000000
49;115;Счет телефона RUB;RUB Баланс;643;1;1011110110111111111111111111111010101111101111001011111111111101010111100011111101011111110111000010100000100000000000000000000101000100111111111111110101111101111101110100000000000000000101100000000000000000000000000000000000000000000000000
54;169;Visa/MasterCard BYN;BYN Карта;974;3;1000100100111001110110011000010000001110100000001001000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
56;152;Приват 24 UAH;UAH Приват24;980;3;1011111111111111111111111111111011101111111111001111111111111111111111100011111101010111111111110111100000111000011000000010001101000100111110111001000111111101111101110100000000000000000101100010000000100000000010000100000000000010000000000
44;95;Skrill USD;USD Skrill;840;1;1000100100111111111111010001111000001111101101001011111111110111110100111011001101010111000101000000010000000000000000000000000101000100111111111111100111111101111011110100000000000000000000000000000000000000000000000000000000000000000000000
58;165;Visa/MasterCard USD;USD Карта;840;3;1000100100111111110110111001111000101110100110001001111101010000000100000011001100000111000111000000000110100100001000000000000100000000000000000000000000000000000001010100000000000000000000010100000000000000000010000100000000000000000000000
59;166;Visa/MasterCard RUB;RUB Карта;643;3;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111110011100000101000011000000000000101000100111111111111101111111111111110111101110011000001011101111111100010100000000010010100000000000000000000000
60;168;Visa/MasterCard UAH;UAH Карта;980;3;1011111111111111111111111111111011101111111111011111111111111111111111100011111101010111111111110011100000111000011000101010001101000100100000000000000111111101111111110100000000000000000101100010000000100000000010000100000000000010000000000
46;135;Тинькофф cash-in RUB;RUB ТКС cash-in;643;3;1000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
61;49;BAT (BAT);BAT;1002;0;1111111111111111111111111111111011111111111111101111111111111111111111100011111111011111111111110010100000000001011011000000000101010111111111111111110111111111111111111100000010000000000111111111100010000000000010110000000100000011110011101
62;132;Альфа cash-in RUB;RUB Альфа cash-in;643;3;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
63;80;QIWI RUB;RUB QIWI;643;1;1111111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111110011111000100100001000000000000101001100111111111111111111111111111111111101110001000001011101111111100010100000000000000000000000000000000000000
64;138;Русский Стандарт RUB;RUB РусСтандарт;643;3;1011111111111111111111111111111011111111111111111111111111111111111111100011111101011111111111110011100000100000011000000010000101000000101111111110100111111101111111111100000000000001010001100010000000000000000000010000000000000000000000000
65;167;Visa/MasterCard EUR;EUR Карта;978;3;1000100100111111110110111001111000101110100110001001111101010000000100000011001100000111000111000000000110000100001000000000000100000000000000000000000000000000000001010100000000000000000000010100000000000000000010000100000000000000000000000
57;142;Кукуруза RUB;RUB Кукуруза;643;3;1011111110111111110111111111111011111111111111111111111111111111110101000011011101010111110111110010100000100000011000000000000000000000000000000000000111111101111101110100000000000001000001100000000000000000000000000000000000000000000000000
66;163;Kaspi Bank KZT;KZT KaspiBank;398;3;1011100111111111111111111111111001101111101111001001111101111111111111100011111101010111110111110011100000100000001000000010000101001100111110100010100111111101110101011100000000000000000101100010000000000000000000010000000000000000000000000
67;219;WU USD;USD WU;840;4;1000000100000000000110000000000000000000000000000000000000000000000000100010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000
68;154;Ощадбанк UAH;UAH Ощадбанк;980;3;1011110111111111111111111111111011101111111111011111111111111111111111100011111101010111111111110011100000111000001000000010001101000100100000001000000111111101111101110100000000000000000101100010000000100000000000000000000000000000000000000
69;192;Банковский счет USD;USD Банк;840;3;1000100100011011000110011000010000101110000010000000111101010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
73;4;Wrapped BTC (WBTC);WBTC;1050;0;1011111111111111111111111111111011111111111111101111111111111111111111100011111111011111111111000010100000000001001010000000000101000101111111111111110111111111111111111100000000000000000111111111100000000000000010010000000100000011100000000
70;194;Банковский счет EUR;EUR Банк;978;3;1000100100011011000110011000010000101110000010000000111101010000000000100000000000000001000101000000000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000
71;193;Банковский счет RUB;RUB Банк;643;3;1011111110111111111111111111111011111111101111111111111111111111111111100011111111011111011111000011100000100000001000000001000101000100100110101101101111111111111011111101110001000001011101110111100000100000000000010000000000000000000000000
72;102;Neteller USD;USD Neteller;840;1;1000100100111000110110010000010000001110100000001001000000000000000000000011001100000101000101100000000000000000000000000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
74;98;Paxum USD;USD Paxum;840;1;0000000000000000000010000000000000000000000000000000000000000000000000100010000101000100000100000000000000000000000000000000000100000100000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000
11;97;Idram AMD;AMD Idram;51;1;1000000000001000000010000000000000000000000000000000000000000000000000100011000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
75;162;ForteBank KZT;KZT ForteBank;398;3;1011100111111111111111111111111001101111101111001001111101111111111111100011111101010111110111110011100000000000001000000010000101001100111110100010100111111101101101011100000000000000000101100010000000000000000000010000000000000000000000000
76;68;NEAR Protocol (NEAR);NEAR;1023;0;1011111111111111111111111111111011111111111111111111111111111111111111100011111111010111111111110011100000000000011010000000000101010111111111111111111111111111111111111101110001000001011101111111100000000000000000110000000100000011110011101
77;222;MoneyGram EUR;EUR MG;978;4;1000000100000000000010000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
78;221;MoneyGram USD;USD MG;840;4;1000000100000000000010000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
79;139;Авангард RUB;RUB Авангард;643;3;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111110011100000100000011000000000000101000100101010101010000111111111111111111101110001000001011101111101100000000000000000010000000000000000000000000
80;84;PayPal EUR;EUR PayPal;978;1;1000100100111111111111010001111000001111001101001011111111110111110100111011001100000111000000110000000000000000000000000000000101000100111111111111100111111101111011110100000000000000000000000000000000000000000000000000000000000000000000000
81;199;Банковский счет GBP;GBP Банк;826;3;1000100100111011110110011000010000101110100010001001111101010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
82;58;Solana (SOL);SOL;1012;0;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111111011100010000001111010000000000101111111111111111111111111111111111111111101111111111101111111111111111111110111011011111100000100000011110111101
83;177;Visa/MasterCard TRY;TRY Карта;949;3;1000100100011011000110011000010000101110000010000000111101010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
84;157;Монобанк UAH;UAH Монобанк;980;3;1011111111111111111111111111111011101111111111011111111111111111111111100011111101010111111111110011100000111000011100000010001101000100100000001000000111111101111101110100000000000000000101100010000000100000000010000100000000000010000000000
